aX,aY,aZ,gX,gY,gZ
1.233,2.511,2.511,5.515,-1.292,-0.865
0.974,2.714,2.714,5.035,-1.171,-0.838
1.137,3.063,3.063,4.536,-1.157,-0.769
1.321,3.044,3.044,4.127,-1.111,-0.718
1.369,3.082,3.082,3.625,-0.964,-0.698
1.445,3.635,3.635,3.113,-0.881,-0.648
1.562,3.853,3.853,2.716,-0.840,-0.558
1.601,3.725,3.725,2.207,-0.712,-0.427
1.470,3.678,3.678,1.726,-0.542,-0.335
1.413,3.783,3.783,1.391,-0.430,-0.269
1.464,3.811,3.811,0.979,-0.274,-0.143
1.435,3.664,3.664,0.602,-0.104,-0.043
1.421,3.680,3.680,0.372,0.001,0.029
1.359,3.733,3.733,0.101,0.148,0.126
1.173,3.762,3.762,-0.081,0.311,0.230
1.116,3.588,3.588,-0.171,0.429,0.314
0.981,3.263,3.263,-0.252,0.552,0.402
0.769,2.836,2.836,-0.296,0.635,0.459
0.730,2.563,2.563,-0.321,0.684,0.473
0.889,2.207,2.207,-0.330,0.740,0.465
0.726,2.262,2.262,-0.332,0.777,0.476
0.791,2.029,2.029,-0.326,0.835,0.506
0.625,1.721,1.721,-0.343,0.878,0.485
0.833,1.677,1.677,-0.315,0.854,0.476
0.765,1.634,1.634,-0.299,0.809,0.498
0.661,1.179,1.179,-0.297,0.756,0.508
0.563,0.953,0.953,-0.271,0.691,0.484
0.467,0.859,0.859,-0.251,0.630,0.471
0.373,0.631,0.631,-0.223,0.535,0.440
0.404,0.590,0.590,-0.165,0.447,0.402
0.325,0.583,0.583,-0.095,0.352,0.378
0.323,0.445,0.445,-0.055,0.282,0.360
0.331,0.290,0.290,0.027,0.188,0.328
0.296,0.256,0.256,0.112,0.110,0.292
0.196,0.237,0.237,0.178,0.049,0.271
0.197,0.143,0.143,0.248,-0.046,0.233
0.090,0.234,0.234,0.332,-0.113,0.178
