aX,aY,aZ,gX,gY,gZ
-3.577,-1.906,-1.906,-0.049,-0.478,0.812
-3.416,-1.779,-1.779,0.012,-0.463,0.803
-3.550,-1.631,-1.631,0.073,-0.457,0.778
-3.507,-1.603,-1.603,0.139,-0.474,0.770
-3.235,-1.557,-1.557,0.156,-0.433,0.768
-3.339,-1.624,-1.624,0.160,-0.390,0.759
-3.263,-1.446,-1.446,0.217,-0.401,0.742
-3.235,-1.506,-1.506,0.241,-0.371,0.741
-3.105,-1.443,-1.443,0.247,-0.363,0.736
-3.113,-1.494,-1.494,0.230,-0.325,0.720
-3.135,-1.558,-1.558,0.239,-0.326,0.712
-3.148,-1.527,-1.527,0.260,-0.349,0.696
-2.968,-1.586,-1.586,0.260,-0.330,0.689
-3.054,-1.742,-1.742,0.262,-0.313,0.681
-2.866,-1.669,-1.669,0.256,-0.309,0.652
-2.827,-1.922,-1.922,0.229,-0.279,0.623
-2.663,-2.025,-2.025,0.223,-0.329,0.604
-2.488,-1.923,-1.923,0.194,-0.315,0.575
-2.480,-2.077,-2.077,0.144,-0.265,0.541
-2.491,-2.106,-2.106,0.123,-0.260,0.495
-2.324,-2.003,-2.003,0.106,-0.235,0.446
-2.433,-2.010,-2.010,0.103,-0.221,0.416
-2.229,-1.885,-1.885,0.094,-0.219,0.399
-2.208,-1.782,-1.782,0.077,-0.199,0.359
-2.131,-1.633,-1.633,0.071,-0.194,0.336
-2.046,-1.540,-1.540,0.069,-0.178,0.318
-2.038,-1.462,-1.462,0.054,-0.171,0.295
-2.035,-1.447,-1.447,0.050,-0.178,0.279
-1.821,-1.263,-1.263,0.048,-0.190,0.265
-1.808,-1.163,-1.163,0.034,-0.158,0.242
-1.753,-1.158,-1.158,0.021,-0.132,0.242
-1.694,-1.018,-1.018,0.049,-0.129,0.242
-1.674,-0.903,-0.903,0.063,-0.107,0.247
-1.594,-0.951,-0.951,0.056,-0.082,0.244
-1.515,-0.955,-0.955,0.043,-0.061,0.233
-1.429,-0.936,-0.936,0.034,-0.070,0.216
-1.330,-0.936,-0.936,0.015,-0.081,0.208
-1.251,-0.941,-0.941,-0.017,-0.087,0.200
-1.156,-0.922,-0.922,-0.024,-0.111,0.197
-1.077,-0.937,-0.937,-0.028,-0.101,0.185
-1.060,-0.904,-0.904,-0.013,-0.090,0.161
-0.987,-0.839,-0.839,0.011,-0.067,0.146
-0.920,-0.771,-0.771,0.023,-0.049,0.130
-0.907,-0.783,-0.783,0.018,-0.036,0.122
-0.874,-0.725,-0.725,0.006,-0.026,0.110
-0.805,-0.701,-0.701,0.000,-0.028,0.098
